Shot,TS_TRIG,Energy,Fuel,Notes,Mount_Positions,Jack_Height,V_osc,V_amps12,V_amp3,POLY_2_2,POLY_2_3,POLY_3_1,POLY_3_2,POLY_3_3,POLY_3_4,POLY_3_5,POLY_4_1,POLY_4_2,POLY_4_3,POLY_4_4,POLY_4_5,POLY_5_1,POLY_5_2,POLY_5_3,POLY_5_4,POLY_5_5,radius_poly_2,radius_poly_3,radius_poly_4,radius_poly_5,i_tor_max,FIRE_TIME,Energy_Bayes,Pulse_Time
181010014,1.8,,He,tweaking scopes.,XDGF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,14220.389472535764,,,
181010015,1.8,,He,TS_PRETRIG to -1.35 ms.,XDGF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,14446.851930014616,,,
181010016,2.0,,He,TS_TRIG to 2ms (decay),XDGF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,14046.152162054575,,,
181010017,2.0,,He,"Power test, energy monitor at laser box exit: 3.26 J",XDGF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,14165.054749312681,,,
181010018,2.0,,He,"Power test, energy monitor at laser box exit: 3.38 J",XDGF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,14538.468899018999,,,
181010019,2.0,,He,test burn at chimney outlet collar,XDGF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,14364.118702244215,,,
181010020,2.0,,He,Power test with old energy monitor - didn't trigger,XDGF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,14278.909998917792,,,
181010021,2.0,,He,"Power test with old energy monitor - laser key wasn't in, will retry.",XDGF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,14244.155516620503,,,
181010022,2.0,,He,Power test with old energy monitor: 5.34 J.,XDGF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,14495.11343221354,,,
181010023,2.0,,D/He,D/He shot.,XDGF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,17904.918786492,,,
